,title,publication_date,abstract
10,Upgrade of heavy crude oil via aquathermolysis over several types of catalysts,2022-02-01,"A solid NaY zeolite catalyst was synthesized from raw materials using a hydrothermal method. The NH4Y and HY forms of the catalyst were then prepared using multistage ion-exchange and calcination processes, respectively. Cobalt and Zinc as transition metals were loaded into the HY structure through impregnation method. The synthesized Zn/HY and Co/HY zeolites along with ZnO and CoO nanoparticles were all used as catalysts for aquathermolysis. The catalysts were characterized using X-ray diffraction, Fourier-transform infrared spectroscopy, scanning electron microscopy-energy-dispersive X-ray spectroscopy, and Brunauer-Emmett-Teller surface area and pore volume analysis. A stainless-steel autoclave operated at 45 bar and 250 °C for 24 h was employed for upgrading heavy crude oil samples extracted from the East Baghdad oilfield using toluene as the hydrogen donor. The reaction products were analyzed by evaluating the changes in their viscosity, API gravity, density, pour point, and flash point. The results indicated that the efficiency of the catalysts decreased as follows: Zn/HY zeolite > Co/HY zeolite > nano CoO > nano ZnO > HY zeolite > in the presence of the hydrogen donor only = in the absence of catalysts or the hydrogen donor. The decrease in the S-content of the products was also evaluated. The results indicated that the efficiency of the catalysts decreased as follows: Co/HY zeolite > Zn/HY zeolite > nano CoO > nano ZnO > HY zeolite > in the presence of the hydrogen donor only > in the absence of catalysts or the hydrogen donor. The S-content of the products obtained over the Co/HY zeolite catalyst decreased the most (by 65.63%). Moreover, the viscosity of the crude oil obtained over the Zn/HY zeolite catalyst decreased the most (by 63.69%)."
11,Quantized molecular intercalations of Rhodamine 6G laser dye onto polymethylmethacrylate host exciplex,2022-02-01,"Polymethylmethacrylate (PMMA) and Rhodamine 6G (R6G), were used to achieve an electronically excited R6G/PMMA complex of definite stoichiometry as an active laser exciplex, pumped by different laser sources. This paper is the first that is capable of interpretation of the interactions of the reactants to form the exciplex on the molecular level using DFT. The system was prepared by thermochemical polymerization, and structurally identified using FTIR, XRD and SEM in conjunction with DSC. In low-to moderate-loading of R6G, FTIR and XRD studies indicated a good interaction between PMMA and R6G to give poor-or semi-crystalline structures. Higher dye loadings were achieved for the synthesized exciplex; loading of PMMA with 0.25 Wt-% R6G decreased the glass transition temperature from 98.74 °C to 70.08 °C. However, increasing the loading with R6G to 5 Wt-% and 20 Wt-% increased the Tg values to 86.26 and 91.90 °C, respectively. MD simulations were conducted; the electronic mobility within the system was related to different quantum parameters, EHOMO, ELUMO, η, μ and ω were about -7.671 eV, -5.241 eV, 1.215 eV, -6.456 eV and 17.1522 eV, respectively. DFT calculations indicated that R6G/PMMA has a characteristic lasing stability, so that the lasing lifetimes about 8000 pulses and efficiencies about 21% were obtained."
12,Effect of graphene oxide on the performance of foamed concrete and its action mechanism in cement,2022-02-01,"The purpose of this study is to investigate the effect of graphene oxide (GO) on the performance of foamed concrete and its action mechanism in cement. The GO increased the nine-day and 15-day compressive and flexural strengths of foamed concrete compared to concrete without GO. When the GO dispersion (GOd) content was 0.75% (by the cement weight), the 15-day compressive strength of the foamed concrete increased by 36.36%. However, excess GO adversely affected the late-age compressive strength (30 days) because it was difficult to disperse uniformly in cement. The microstructure and hydration products of the foamed concrete were analysed using field-emission scanning electron microscopy combined (FEM) with X-ray diffraction (XRD) and energy-dispersive X-ray spectroscopy techniques (EDS). The GO could regulate the shape of hydration products, probably because GO exhibited a strong covalent bond between the oxygen-containing functional groups of GO and the cement hydration products, and the GO content and curing age influenced such regulations. The pore structure was examined using X-ray computed tomography, (X-CT) and the GO significantly influenced the pore structure of the foamed concrete. The findings of this study indicate that GO has potential as a nanometre-sized material to improve the strength of foamed concrete without affecting the dry density."
13,Effect of microstructure on complex permittivity and microwave absorption properties of recycled -FeO nanopowder prepared by high-energy ball milling technique,2022-02-01,"This study was aimed at investigating the effect of microstructural variations on relative complex permittivity and microwave absorption properties of recycled α-Fe2O3, following application of high-energy ball milling technique to modify particles into nanopowder. Three portions of recycled α-Fe2O3 granules were separately milled for 8 h, 10 h and 12 h respectively and their microstructural characteristics were examined using X-ray diffraction (XRD), High-resolution transmission electron microscopy (HRTEM) and Brunauer-Emmett-Teller (BET) analysis. This was followed by relative complex permittivity and microwave absorption characterizations which were conducted at X-band microwave frequency range using the rectangular waveguide technique in connection with a vector network analyzer. Results established interfacial lattice defects and imperfections in the milled portions which became more pronounced with reduced crystallite sizes, and contributed to enhanced interfacial polarization process, leading to increased relative complex permittivity and microwave absorption properties of the recycled α-Fe2O3 nanopowders. The smallest estimated crystallite size of 11.1 nm was obtained after 12 h of milling with ɛ r = 12.1–0.46j at 8 GHz, which was reduced to ɛ r = 11.0–0.34j at 12 GHz while its power loss values varied between 18.3 dB and 23.3 dB in the 8–12 GHz range. A positive correlation was identified that connects microstructural variations with relative complex permittivity and power loss, and could be exploited to tune the microwave absorption properties of the recycled α-Fe2O3 particles."
14,Autonomous damage recognition of C/SiC composite based on transfer learning,2022-02-01,"C/SiC composite has excellent performance, but their damage patterns cannot be effectively detected, and it is tough to obtain a large amount of label data. Therefore, an autonomous damage image recognition based on transfer learning is proposed in this paper. A C/SiC composite damage image data set is collected from experiments and papers, including fiber pullout, matrix cracking, interface debonding, and fiber breakage images. Pre-trained DenseNet121 was transferred to train and classify this data set. Pre-trained AlexNet and other four networks are selected for comparison. The results of experiment illustrate that the accuracy of directly using the DenseNet121 model is 70.536%, and the accuracy of the transferring pre-trained AlexNet, VGG16, ResNet18, and MobileNet-v2 on the validation set is 96.429%, 84.598%, 94.420%, 94.866%, respectively. The accuracy in this paper is 97.098%. As the number of damage images of C/SiC composite is limited, the recognition accuracy of the method is significantly improved."
15,N/O dual-doped hierarchical porous carbon boosting cathode performance of lithium—sulfur batteries,2022-02-01,"A combination of NaOH activation and continuous pyrolysis of biomass is used to prepare N and O dual-doped hierarchical porous carbon as the carrier of Li—S batteries from egg, yolk and albumen respectively. Among the three sources, the biomass porous carbon derived from albumen has the most abundant hierarchical pore morphology. Its specific surface area, average pore diameter, and sulfur loading are 693.0 m2 · g−1, 3.1 nm and 62.0 wt.%, respectively. The albumen-derived porous carbon/sulfur (AC/S) electrode exhibits excellent reversibility and electrochemical performance (1115 mAh · g−1 at 0.05 C) due to the synergistic effect of hierarchical pore structure and element doping. The rate capacity of AC/S is 15% and 25% higher than that of egg-derived porous carbon/sulfur (EC/S) and yolk-derived carbon/sulfur (YC/S) at 2 C. And the capacity retention rate of AC/S after 50 cycles is 77%, which is 15% and 11% higher than those of EC/S and YC/S, respectively."
16,Effect of carbon addition on dissolution behavior of aluminum alloy sacrificial anode,2022-02-01,"Using potentiodynamic polarization and immersion corrosion and sacrificial anode material discharge performance testing methods studied the dissolution behavior of aluminum anode material in the working condition of simulated Northwest oilfield corrosion conditions. The research results show that carbon can reduce the corrosion potential of aluminum anode material and anode current density increase, which can improve the material corrosion dissolution performance. Immersion corrosion test results show that with the carbon content in ascension, to enhance the anode material of aluminum anode material of uniform dissolving ability, passivation phenomenon was significantly suppressed. Adding carbon anode materials to add up the uniform’s ability to dissolve, eliminate the phenomenon of local corrosion of anode material and the discharge efficiency is greatly increased, effectively solve the aluminum anode material in high temperature environment to serve the current efficiency degradation of field engineering problems."
17,Effect of rapid cold stamping on the precipitation and mechanical properties of Al–Cu–Mg alloy,2022-02-01,"High-angle annular dark-field scanning transmission electron microscopy, scanning electron microscopy, and tensile tests were used to investigate the effects of rapid cold stamping deformation on the precipitation and mechanical properties of spray-formed fine-grained Al–Cu–Mg alloy during aging. The number of longplate S′ phases in peak-aged samples evidently increases with increasing number of rapid cold stamping passes. After two passes of rapid cold stamping, the distribution of long-plate S′ phases in the samples is evidently uneven, with high density in some areas and low density in some areas. The S′ phases are refined, the number is further increased, and the distribution is uniform after four passes of rapid cold stamping deformation. The overall performance of the material is excellent. The tensile strength, yield strength, and elongation are 512 MPa, 453 MPa, and 11.2%, respectively."
18,Curcumin regulates glial cell polarization through TLR4/NF-B pathway after intracerebral hemorrhage,2022-02-01,"This study assessed the effect of curcumin on intracerebral hemorrhage (ICH) to provide a theoretical basis for treatment of ICH. C57BL/6 male mice were used to construct cerebral hemorrhage injury model, and sham operation and treatment groups were set up. Different groups of mice were treated with curcumin, and inflammation cytokines were tested with enzyme-linked immunosorbent assay (ELISA). Tunel staining and Nissl staining measured cell apoptosis in brain tissue. The effect of curcumin on polarization of glial cells was studied by immunofluorescence. Immunohistochemistry and Western blotting analyzed the potential mechanism for curcumin’s effect on ICH. Our results showed that the curcumin effectively inhibited inflammatory response and reduced microglia cell apoptosis in intracerebral hemorrhage model. Additionally, curcumin transformed the M1 into M2 cells in the brain of cerebral hemorrhage model mice, thus improving the neurological damage. Additionally, curcumin exerts anti-inflammatory role in cerebral hemorrhage which was related to toll-like receptor 4/nuclear factor kappa light chain enhancer of activated B cells (TLR4/NF-κB) pathway. We found that curcumin reduced inflammatory response and brain tissue cell death in the ICH mouse model, mainly through TLR4/NF-κB pathway, to change glial cell polarization. The findings from this study will be helpful in promoting development and application of curcumin and providing a theoretical basis for the treatment of intracerebral hemorrhage."
19,Effect of strain on the formation of Guinier—Preston zone in Al—Cu alloys from first-principles,2022-02-01,"Using first-principles calculations, we systematically investigate the energetics of Guinier—Preston zone (GPZ) formation in response to external strain in the Al—Cu system. The results show that when the applied strain exceeds a certain threshold, the precipitation of the GPZ preferentially occurs parallel (perpendicular) to the direction of tensile (compressive) strain and the precipitation energy of the GPZ has a parabolic relationship with the magnitude of strain. The variation of precipitation energy is related to the misfit of the GPZ with the matrix, which changes the number of bonding electrons below the Fermi level."
20,Study on preparation and properties of edible carrageenan-garlic extract composite film,2022-02-01,"In order to prepare edible cling film with anti-oxidation and anti-bacteria properties, in this study, a new functional food packaging film was prepared using carrageenan (CA) and garlic extract (GE) as raw materials, then based on identification of morphological and structural characteristics, anti-oxidation analysis and anti-bacteria analysis methods were used to study the optical properties and physical and chemical characteristics of the film materials. Results indicate that the addition of garlic extract has affected the micro-structure and mechanical properties of composite film, where the DPPH free radical scavenging rate significantly increases with the increase of extract concentration. In addition, the film with the mass concentration of 3% has a better anti-oxidation effect and the diameter of inhibition zone increases with the increase of extract concentration. In short, the addition of garlic extract improves the biological activity of carrageenan film, having provided a theoretical basis for the production of garlic extract-carrageenan composite film."
21,Biomedical materials to repair damaged tissues and organs in sports dance performances,2022-02-01,"Micro-nano manufacturing of inorganic—organic composite tissue and organ engineering scaffolds is a field of biomaterial research that has emerged in recent years. Cell scaffolds for repairing damaged tissues and organs composed of degradable materials are one of its core technologies. Based on this research background, the article analyzes the efficacy of bone scaffold biomedical materials implanted in the injured leg caused by dance exercise. And through finite element analysis and elastic modulus analysis of the bracket’s stress and strain curves. The study found that the stiffness of the bone scaffold biomedical material is reduced after entering the human body. Biomedical materials can exert their toughness characteristics under the action of human bone proteins."
22,Luting resin cement shades and their effect on the color of ceramic ingot,2022-02-01,"This study aimed to evaluate and explore the consequence of luting resin cement shade on the color of ceramic ingot at different periods (24 h & 7 d). Disc-shaped ceramic samples having 10 mm in diameter and 1 mm in thickness were fabricated (N = 30). Variolink Esthetic LC Refill with three different shades (Neutral, Warm, Light+) were chosen to apply on the ceramic samples (n = 10). The color measurements were made by CIELAB color space using a spectrophotometer device. Color measurements were taken as baseline, 24 hours after complete polymerization of the cement and after 7 days of fabrication. Analysis of variance, i.e., One-way ANOVA and Tukey’s post hoc test were used to explore the data (P < 0.05). A statistically significant difference between cement type and the time point was observed (p = 0.000). Furthermore, time duration had a significant effect on the Δ? value (p = 0.001). Moreover, the interaction effect of the cement type and time had a significant effect on the Δ? value (p = 0.000). There is an obvious consequence of luting resin cement shade used on the shade of pressed ceramics. Time is an essential factor that affects and influence luting resin cement shade on the final color of the prosthesis."
23,Nanomaterial-based gas sensors: A review on experimental and theoretical studies,2022-01-01,"Gas sensors play an essential role in various fields such as public safety, environmental monitoring, medical engineering, food monitoring, pharmaceutical industries and clinical diagnostic, to name a few. The need for miniaturized sensors possessing high sensitivity, time response, selectivity, reproducibility, durability, and low cost has driven the discovery of nanomaterials-based gas sensing devices due to their inherent properties such as chemical/physical gas adsorption capabilities and high surface-to-volume ratio. Studies in the literature highlight the development of gas sensors using novel nanomaterials to detect toxic gases. The gas molecules are sensed by the nanomaterial due to adsorption of the gas on the sensor surface, which leads to conductivity change in the nanomaterial. However, the sensing mechanism is quite complicated. Computational studies help the researchers elucidate the physical understanding behind such a complicated mechanism and aid in developing tailored nanomaterials for gas sensing applications. This review outlines different sensor types and the advantages and disadvantages of each sensor for various applications. Different nanostructure-based gas sensors and recent studies are discussed elaborately. The contributions made by theoretical and experimental studies in studying the gas sensing applications of nanomaterials are also discussed."
24,Antibacterial properties of MXene-based nanomaterials: A review,2022-01-01,"MXenes are new two-dimensional (2D) nanoscale materials with strong hydrophobicity, flexibility, and remarkable mechanical strength. MXenes have attracted attention in a wide range of applications due to their unique electrical properties, magnetic properties, and catalytic properties, and ability to form diverse nanocomposites with a variety of materials including carbon nanotubes (CNTs), metal oxides, metal–organic frameworks (MOFs), and organic polymers. MXene-based nanomaterials have demonstrated great potential in antibacterial processes owing to their excellent electrochemical performance, high surface area, and remarkable hydrophilicity. MXene nanomaterials are incredibly effective against a wide variety of bacteria and have undergone extensive research because of their strong bactericidal activities. In this paper, we review all types of MXenes, their different synthesis methods and then summarize the recent advances on antibacterial applications of MXenes under various conditions and bacterial load. This review intends to provide valuable insight and inspiration for the further development of effective and safe MXene-based nanomaterials with antibacterial properties."
25,Liposomal nanoparticle-based miR-155 antagonist regulates Th17/Treg signaling pathway and its inhibitory effect against myocarditis,2022-01-01,"Abnormal expression of miR-155 is related to degree of myocardial fibrosis in myocarditis. This study mainly explored the role of miR-155 in myocardial fibrosis and possible mechanisms. Forty Balb/c mice were randomly separated into blank group, model group, miR-155 group, and DMSO group (n = 10). Fibrosis area and expression of TGF-β and α-SMA in each group were observed. Fibroblasts were then isolated and miR-155mRNA expression, expression of Collagen I, α-SMA, Th17 cell number, Treg cell number, and expressions of IL-6, IL-10, IL-17, STAT3, RORγt, and Foxp3 were also investigated. The model group and DMSO group had the highest fibrosis area, while the blank group and miR-155 group had the lowest fibrosis area. However, the fibrosis area for miR-155 group was higher than the blank group (P >0.05). No significant difference was found between model group and DMSO group (P >0.05). Compared to blank and miR-155 groups, expressions of TGF-β and α-SMA in the model and DMSO group were significantly up-regulated (P <0.05). No significant difference was found between the model and DMSO groups, or between blank and miR-155 groups P < 0.05). Compared to blank and miR-155 groups, the levels of Collagen I, α-SMA, IL-6, IL-10, IL-17, STAT3, RORγt, and Foxp3 in the model and DMSO groups were significantly up-regulated (P > 0.05). No significant difference was found between model and DMSO groups, or between blank and miR-155 groups (P < 0.05). The number of Th17 cells was significantly increased, while Treg cells were significantly decreased in the model and DMSO groups (P < 0.05). In contrast, Th17 cells were significantly decreased, while Treg cells were significantly increased in the blank and miR-155 groups (P < 0.05). No significant difference was found between the model and DMSO groups, or between blank and miR-155 groups (P < 0.05). Moreover, miR-155 inhibited myocarditis and myocardial fibrosis. The mechanism is mainly related to Th17/Treg signaling pathway, where miR-155 decreased Th17 cells, increased Treg cells, inhibited the secretion of Collagen I and α-SMA, and reduced the levels of fibroblast molecules. The miR-155 also interacted with STAT3 pathway to stimulate the activity of inflammatory cells, inhibit the secretion of inflammatory factors, further improving the inflammatory response of myocarditis, and ultimately improving the degree of myocarditis myocardial fibrosis."
26,Targeting Fas-associated protein with death domain gene with chitosan-lipid nanoparticles inhibits coronary heart disease progression in mice,2022-01-01,"Cell apoptosis or programmed cell death is a physiological phenomenon during the development of the body; however, under certain pathological conditions, insufficient, or excessive apoptosis can cause tissue damage and physiological dysfunction. This study investigated the inhibition of oxidized low-density lipoprotein (oxLDL)-induced macrophage apoptosis in mice with coronary heart disease by regulating the target Fasassociated protein with death domain (FADD) gene. We used Western blotting to measure the effect of oxLDL on mouse macrophages and observe the effects of adding simvastatin, 3-methyladenine (3-MA), self-blocking, and other drugs. The results indicated that the target FADD gene played an important role in inhibiting lactate dehydrogenase release by 13%, in the process of oxLDL-induced lipid aggregation in macrophages. The EC50 observed by dual acridine orange/ethidium bromide fluorescence-staining accounts for the proportion of FADD being reduced by 32%, indicating that the target FADD gene exhibited a significant inhibitory effect on oxLDL-induced macrophage apoptosis in coronary heart disease. This study used a novel chitosan-lipid nanoparticle as a gene carrier to significantly improve efficacy. Therefore, targeting the FADD gene using novel chitosan-lipid nanoparticles to deliver siRNA could be a potential clinical treatment in coronary heart disease."
