,title,publication_date,abstract
10,Direct photo-oxidation of methane to methanol over a mono-iron hydroxyl site,2022-06-30,"Natural gas, consisting mainly of methane (CH4), has a relatively low energy density at ambient conditions (~36 kJ l−1). Partial oxidation of CH4 to methanol (CH3OH) lifts the energy density to ~17 MJ l−1 and drives the production of numerous chemicals. In nature, this is achieved by methane monooxygenase with di-iron sites, which is extremely challenging to mimic in artificial systems due to the high dissociation energy of the C–H bond in CH4 (439 kJ mol−1) and facile over-oxidation of CH3OH to CO and CO2. Here we report the direct photo-oxidation of CH4 over mono-iron hydroxyl sites immobilized within a metal–organic framework, PMOF-RuFe(OH). Under ambient and flow conditions in the presence of H2O and O2, CH4 is converted to CH3OH with 100% selectivity and a time yield of 8.81 ± 0.34 mmol gcat−1 h−1 (versus 5.05 mmol gcat−1 h−1 for methane monooxygenase). By using operando spectroscopic and modelling techniques, we find that confined mono-iron hydroxyl sites bind CH4 by forming an [Fe–OH···CH4] intermediate, thus lowering the barrier for C–H bond activation. The confinement of mono-iron hydroxyl sites in a porous matrix demonstrates a strategy for C–H bond activation in CH4 to drive the direct photosynthesis of CH3OH."
11,Subsecond multichannel magnetic control of select neural circuits in freely moving flies,2022-06-27,"Precisely timed activation of genetically targeted cells is a powerful tool for the study of neural circuits and control of cell-based therapies. Magnetic control of cell activity, or ‘magnetogenetics’, using magnetic nanoparticle heating of temperature-sensitive ion channels enables remote, non-invasive activation of neurons for deep-tissue applications and freely behaving animal studies. However, the in vivo response time of thermal magnetogenetics is currently tens of seconds, which prevents precise temporal modulation of neural activity. Moreover, magnetogenetics has yet to achieve in vivo multiplexed stimulation of different groups of neurons. Here we produce subsecond behavioural responses in Drosophila melanogaster by combining magnetic nanoparticles with a rate-sensitive thermoreceptor (TRPA1-A). Furthermore, by tuning magnetic nanoparticles to respond to different magnetic field strengths and frequencies, we achieve subsecond, multichannel stimulation. These results bring magnetogenetics closer to the temporal resolution and multiplexed stimulation possible with optogenetics while maintaining the minimal invasiveness and deep-tissue stimulation possible only by magnetic control."
12,Intrinsic ferroelectricity in Y-doped HfO,2022-06-27,"Ferroelectric HfO2-based materials hold great potential for the widespread integration of ferroelectricity into modern electronics due to their compatibility with existing Si technology. Earlier work indicated that a nanometre grain size was crucial for the stabilization of the ferroelectric phase. This constraint, associated with a high density of structural defects, obscures an insight into the intrinsic ferroelectricity of HfO2-based materials. Here we demonstrate that stable and enhanced polarization can be achieved in epitaxial HfO2 films with a high degree of structural order (crystallinity). An out-of-plane polarization value of 50 μC cm–2 has been observed at room temperature in Y-doped HfO2(111) epitaxial thin films, with an estimated full value of intrinsic polarization of 64 μC cm–2, which is in close agreement with density functional theory calculations. The crystal structure of films reveals the Pca21 orthorhombic phase with small rhombohedral distortion, underlining the role of the structural constraint in stabilizing the ferroelectric phase. Our results suggest that it could be possible to exploit the intrinsic ferroelectricity of HfO2-based materials, optimizing their performance in device applications."
13,Composition and phase engineering of metal chalcogenides and phosphorous chalcogenides,2022-06-23,"Two-dimensional (2D) materials with multiphase, multielement crystals such as transition metal chalcogenides (TMCs) (based on V, Cr, Mn, Fe, Cd, Pt and Pd) and transition metal phosphorous chalcogenides (TMPCs) offer a unique platform to explore novel physical phenomena. However, the synthesis of a single-phase/single-composition crystal of these 2D materials via chemical vapour deposition is still challenging. Here we unravel a competitive-chemical-reaction-based growth mechanism to manipulate the nucleation and growth rate. Based on the growth mechanism, 67 types of TMCs and TMPCs with a defined phase, controllable structure and tunable component can be realized. The ferromagnetism and superconductivity in FeXy can be tuned by the y value, such as superconductivity observed in FeX and ferromagnetism in FeS2 monolayers, demonstrating the high quality of as-grown 2D materials. This work paves the way for the multidisciplinary exploration of 2D TMPCs and TMCs with unique properties."
14,Capturing dynamic ligand-to-metal charge transfer with a long-lived cationic intermediate for anionic redox,2022-06-20,"Reversible anionic redox reactions represent a transformational change for creating advanced high-energy-density positive-electrode materials for lithium-ion batteries. The activation mechanism of these reactions is frequently linked to ligand-to-metal charge transfer (LMCT) processes, which have not been fully validated experimentally due to the lack of suitable model materials. Here we show that the activation of anionic redox in cation-disordered rock-salt Li1.17Ti0.58Ni0.25O2 involves a long-lived intermediate Ni3+/4+ species, which can fully evolve to Ni2+ during relaxation. Combining electrochemical analysis and spectroscopic techniques, we quantitatively identified that the reduction of this Ni3+/4+ species goes through a dynamic LMCT process (Ni3+/4+–O2− → Ni2+–On−). Our findings provide experimental validation of previous theoretical hypotheses and help to rationalize several peculiarities associated with anionic redox, such as cationic–anionic redox inversion and voltage hysteresis. This work also provides additional guidance for designing high-capacity electrodes by screening appropriate cationic species for mediating LMCT."
15,Imaging gate-tunable Tomonaga–Luttinger liquids in 1H-MoSe,2022-06-16,"One-dimensional electron systems exhibit fundamentally different properties than higher-dimensional systems. For example, electron–electron interactions in one-dimensional electron systems have been predicted to induce Tomonaga–Luttinger liquid behaviour. Naturally occurring grain boundaries in single-layer transition metal dichalcogenides exhibit one-dimensional conducting channels that have been proposed to host Tomonaga–Luttinger liquids, but charge density wave physics has also been suggested to explain their behaviour. Clear identification of the electronic ground state of this system has been hampered by an inability to electrostatically gate such boundaries and tune their charge carrier concentration. Here we present a scanning tunnelling microscopy and spectroscopy study of gate-tunable mirror twin boundaries in single-layer 1H-MoSe2 devices. Gating enables scanning tunnelling microscopy and spectroscopy for different mirror twin boundary electron densities, thus allowing precise characterization of electron–electron interaction effects. Visualization of the resulting mirror twin boundary electronic structure allows unambiguous identification of collective density wave excitations having two velocities, in quantitative agreement with the spin–charge separation predicted by finite-length Tomonaga–Luttinger liquid theory."
16,Deterministic switching of a perpendicularly polarized magnet using unconventional spin–orbit torques in WTe,2022-06-16,"Spin–orbit torque (SOT)-driven deterministic control of the magnetic state of a ferromagnet with perpendicular magnetic anisotropy is key to next-generation spintronic applications including non-volatile, ultrafast and energy-efficient data-storage devices. However, field-free deterministic switching of perpendicular magnetization remains a challenge because it requires an out-of-plane antidamping torque, which is not allowed in conventional spin-source materials such as heavy metals and topological insulators due to the system’s symmetry. The exploitation of low-crystal symmetries in emergent quantum materials offers a unique approach to achieve SOTs with unconventional forms. Here we report an experimental realization of field-free deterministic magnetic switching of a perpendicularly polarized van der Waals magnet employing an out-of-plane antidamping SOT generated in layered WTe2, a quantum material with a low-symmetry crystal structure. Our numerical simulations suggest that the out-of-plane antidamping torque in WTe2 is essential to explain the observed magnetization switching."
17,Unconventional excitonic states with phonon sidebands in layered silicon diphosphide,2022-06-16,"Complex correlated states emerging from many-body interactions between quasiparticles (electrons, excitons and phonons) are at the core of condensed matter physics and material science. In low-dimensional materials, quantum confinement affects the electronic, and subsequently, optical properties for these correlated states. Here, by combining photoluminescence, optical reflection measurements and ab initio theoretical calculations, we demonstrate an unconventional excitonic state and its bound phonon sideband in layered silicon diphosphide (SiP2), where the bound electron–hole pair is composed of electrons confined within one-dimensional phosphorus–phosphorus chains and holes extended in two-dimensional SiP2 layers. The excitonic state and emergent phonon sideband show linear dichroism and large energy redshifts with increasing temperature. Our ab initio many-body calculations confirm that the observed phonon sideband results from the correlated interaction between excitons and optical phonons. With these results, we propose layered SiP2 as a platform for the study of excitonic physics and many-particle effects."
18,Programmable gear-based mechanical metamaterials,2022-06-09,"Elastic properties of classical bulk materials can hardly be changed or adjusted in operando, while such tunable elasticity is highly desired for robots and smart machinery. Although possible in reconfigurable metamaterials, continuous tunability in existing designs is plagued by issues such as structural instability, weak robustness, plastic failure and slow response. Here we report a metamaterial design paradigm using gears with encoded stiffness gradients as the constituent elements and organizing gear clusters for versatile functionalities. The design enables continuously tunable elastic properties while preserving stability and robust manoeuvrability, even under a heavy load. Such gear-based metamaterials enable excellent properties such as continuous modulation of Young’s modulus by two orders of magnitude, shape morphing between ultrasoft and solid states, and fast response. This allows for metamaterial customization and brings fully programmable materials and adaptive robots within reach."
19,Halide perovskites enable polaritonic ,2022-06-09,"Exciton polaritons, the part-light and part-matter quasiparticles in semiconductor optical cavities, are promising for exploring Bose–Einstein condensation, non-equilibrium many-body physics and analogue simulation at elevated temperatures. However, a room-temperature polaritonic platform on par with the GaAs quantum wells grown by molecular beam epitaxy at low temperatures remains elusive. The operation of such a platform calls for long-lifetime, strongly interacting excitons in a stringent material system with large yet nanoscale-thin geometry and homogeneous properties. Here, we address this challenge by adopting a method based on the solution synthesis of excitonic halide perovskites grown under nanoconfinement. Such nanoconfinement growth facilitates the synthesis of smooth and homogeneous single-crystalline large crystals enabling the demonstration of XY Hamiltonian lattices with sizes up to 10 × 10. With this demonstration, we further establish perovskites as a promising platform for room temperature polaritonic physics and pave the way for the realization of robust mode-disorder-free polaritonic devices at room temperature."
20,High-entropy enhanced capacitive energy storage,2022-06-06,"Electrostatic dielectric capacitors are essential components in advanced electronic and electrical power systems due to their ultrafast charging/discharging speed and high power density. A major challenge, however, is how to improve their energy densities to effectuate the next-generation applications that demand miniaturization and integration. Here, we report a high-entropy stabilized Bi2Ti2O7-based dielectric film that exhibits an energy density as high as 182 J cm−3 with an efficiency of 78% at an electric field of 6.35 MV cm−1. Our results reveal that regulating the atomic configurational entropy introduces favourable and stable microstructural features, including lattice distorted nano-crystalline grains and a disordered amorphous-like phase, which enhances the breakdown strength and reduces the polarization switching hysteresis, thus synergistically contributing to the energy storage performance. This high-entropy approach is expected to be widely applicable for the development of high-performance dielectrics."
21,Tapered fibertrodes for optoelectrical neural interfacing in small brain volumes with reduced artefacts,2022-06-06,"Deciphering the neural patterns underlying brain functions is essential to understanding how neurons are organized into networks. This deciphering has been greatly facilitated by optogenetics and its combination with optoelectronic devices to control neural activity with millisecond temporal resolution and cell type specificity. However, targeting small brain volumes causes photoelectric artefacts, in particular when light emission and recording sites are close to each other. We take advantage of the photonic properties of tapered fibres to develop integrated ‘fibertrodes’ able to optically activate small brain volumes with abated photoelectric noise. Electrodes are positioned very close to light emitting points by non-planar microfabrication, with angled light emission allowing the simultaneous optogenetic manipulation and electrical read-out of one to three neurons, with no photoelectric artefacts, in vivo. The unconventional implementation of two-photon polymerization on the curved taper edge enables the fabrication of recoding sites all around the implant, making fibertrodes a promising complement to planar microimplants."
22,Direct correlation between void formation and lithium dendrite growth in solid-state electrolytes with interlayers,2022-06-02,"Solid-state Li-ion batteries with lithium anodes offer higher energy densities and are safer than conventional liquid electrolyte-based Li-ion batteries. However, the growth of lithium dendrites across the solid-state electrolyte layer leads to the premature shorting of cells and limits their practical viability. Here, using solid-state Li half-cells with metallic interlayers between a garnet-based lithium-ion conductor and lithium, we show that interfacial void growth precedes dendrite nucleation and growth. Specifically, void growth was observed at a current density of around two-thirds of the critical current density for dendrite growth. Computational calculations reveal that interlayer materials with higher critical current densities for dendrite growth also have the largest thermodynamic and kinetic barriers for lithium vacancy accumulation at their interfaces with lithium. Our results suggest that interfacial modification with suitable metallic interlayers decreases the tendency for void growth and improves dendrite growth tolerance in solid-state electrolytes, even in the absence of high stack pressures."
23,Superior radiation tolerance via reversible disordering–ordering transition of coherent superlattices,2022-05-30,"Materials capable of sustaining high radiation doses at a high temperature are required for next-generation fission and future fusion energy. To date, however, even the most promising structural materials cannot withstand the demanded radiation environment due to irreversible radiation-driven microstructure degradation. Here we report a counterintuitive strategy to achieve exceptionally high radiation tolerance at high temperatures by enabling reversible local disordering–ordering transition of the introduced superlattice nanoprecipitates in metallic materials. As particularly demonstrated in martensitic steel containing a high density of B2-ordered superlattices, no void swelling was detected even after ultrahigh-dose radiation damage at 400–600 °C. The reordering process of the low-misfit superlattices in highly supersaturated matrices occurs through the short-range reshuffling of radiation-induced point defects and excess solutes right after rapid, ballistic disordering. This dynamic process stabilizes the microstructure, continuously promotes in situ defect recombination and efficiently prevents the capillary-driven long-range diffusion process. The strategy can be readily applied into other materials and pave the pathway for developing materials with high radiation tolerance."
24,Spontaneous formation of metastable orientation with well-organized permanent dipole moment in organic glassy films,2022-05-30,"The performance of organic optoelectronic and energy-harvesting devices is largely determined by the molecular orientation and resultant permanent dipole moment, yet this property is difficult to control during film preparation. Here, we demonstrate the active control of dipole direction—that is, vector direction and magnitude—in organic glassy films by physical vapour deposition. An organic glassy film with metastable permanent dipole moment orientation can be obtained by utilizing the small surface free energy of a trifluoromethyl unit and intramolecular permanent dipole moment induced by functional groups. The proposed molecular design rule could pave a way toward the formation of spontaneously polarized organic glassy films, leading to improvement in the performance of organic molecular devices."
25,Self-generated gradients steer collective migration on viscoelastic collagen networks,2022-05-30,"Growing evidence suggests that the physical properties of the cellular microenvironment influence cell migration. However, it is not currently understood how active physical remodelling by cells affects migration dynamics. Here we report that cell clusters seeded on deformable collagen-I networks display persistent collective migration despite not showing any apparent intrinsic polarity. Clusters generate transient gradients in collagen density and alignment due to viscoelastic relaxation of the collagen networks. Combining theory and experiments, we show that crosslinking collagen networks or reducing cell cluster size results in reduced network deformation, shorter viscoelastic relaxation time and smaller gradients, leading to lower migration persistence. Traction force and Brillouin microscopy reveal asymmetries in force distributions and collagen stiffness during migration, providing evidence of mechanical cross-talk between cells and their substrate during migration. This physical model provides a mechanism for self-generated directional migration on viscoelastic substrates in the absence of internal biochemical polarity cues."
26,3D printed protein-based robotic structures actuated by molecular motor assemblies,2022-05-26,"Upscaling motor protein activity to perform work in man-made devices has long been an ambitious goal in bionanotechnology. The use of hierarchical motor assemblies, as realized in sarcomeres, has so far been complicated by the challenges of arranging sufficiently high numbers of motor proteins with nanoscopic precision. Here, we describe an alternative approach based on actomyosin cortex-like force production, allowing low complexity motor arrangements in a contractile meshwork that can be coated onto soft objects and locally activated by ATP. The design is reminiscent of a motorized exoskeleton actuating protein-based robotic structures from the outside. It readily supports the connection and assembly of micro-three-dimensional printed modules into larger structures, thereby scaling up mechanical work. We provide an analytical model of force production in these systems and demonstrate the design flexibility by three-dimensional printed units performing complex mechanical tasks, such as microhands and microarms that can grasp and wave following light activation."
27,Porosity-based heterojunctions enable leadless optoelectronic modulation of tissues,2022-05-26,"Homo- and heterojunctions play essential roles in semiconductor-based devices such as field-effect transistors, solar cells, photodetectors and light-emitting diodes. Semiconductor junctions have been recently used to optically trigger biological modulation via photovoltaic or photoelectrochemical mechanisms. The creation of heterojunctions typically involves materials with different doping or composition, which leads to high cost, complex fabrications and potential side effects at biointerfaces. Here we show that a porosity-based heterojunction, a largely overlooked system in materials science, can yield an efficient photoelectrochemical response from the semiconductor surface. Using self-limiting stain etching, we create a nanoporous/non-porous, soft–hard heterojunction in p-type silicon within seconds under ambient conditions. Upon surface oxidation, the heterojunction yields a strong photoelectrochemical response in saline. Without any interconnects or metal modifications, the heterojunction enables efficient non-genetic optoelectronic stimulation of isolated rat hearts ex vivo and sciatic nerves in vivo with optical power comparable to optogenetics, and with near-infrared capabilities."
28,Enabling ultra-low-voltage switching in BaTiO,2022-05-26,"Single crystals of BaTiO3 exhibit small switching fields and energies, but thin-film performance is considerably worse, thus precluding their use in next-generation devices. Here, we demonstrate high-quality BaTiO3 thin films with nearly bulk-like properties. Thickness scaling provides access to the coercive voltages (<100 mV) and fields (<10 kV cm−1) required for future applications and results in a switching energy of <2 J cm−3 (corresponding to <2 aJ per bit in a 10 × 10 × 10 nm3 device). While reduction in film thickness reduces coercive voltage, it does so at the expense of remanent polarization. Depolarization fields impact polar state stability in thicker films but fortunately suppress the coercive field, thus driving a deviation from Janovec–Kay–Dunn scaling and enabling a constant coercive field for films <150 nm in thickness. Switching studies reveal fast speeds (switching times of ~2 ns for 25-nm-thick films with 5-µm-diameter capacitors) and a pathway to subnanosecond switching. Finally, integration of BaTiO3 thin films onto silicon substrates is shown. We also discuss what remains to be demonstrated to enable the use of these materials for next-generation devices."
29,A single-atom library for guided monometallic and concentration-complex multimetallic designs,2022-05-23,"Atomically dispersed single-atom catalysts have the potential to bridge heterogeneous and homogeneous catalysis. Dozens of single-atom catalysts have been developed, and they exhibit notable catalytic activity and selectivity that are not achievable on metal surfaces. Although promising, there is limited knowledge about the boundaries for the monometallic single-atom phase space, not to mention multimetallic phase spaces. Here, single-atom catalysts based on 37 monometallic elements are synthesized using a dissolution-and-carbonization method, characterized and analysed to build the largest reported library of single-atom catalysts. In conjunction with in situ studies, we uncover unified principles on the oxidation state, coordination number, bond length, coordination element and metal loading of single atoms to guide the design of single-atom catalysts with atomically dispersed atoms anchored on N-doped carbon. We utilize the library to open up complex multimetallic phase spaces for single-atom catalysts and demonstrate that there is no fundamental limit on using single-atom anchor sites as structural units to assemble concentration-complex single-atom catalyst materials with up to 12 different elements. Our work offers a single-atom library spanning from monometallic to concentration-complex multimetallic materials for the rational design of single-atom catalysts."
30,STING agonist delivery by tumour-penetrating PEG-lipid nanodiscs primes robust anticancer immunity,2022-05-23,"Activation of the innate immune STimulator of INterferon Genes (STING) pathway potentiates antitumour immunity, but systemic delivery of STING agonists to tumours is challenging. We conjugated STING-activating cyclic dinucleotides (CDNs) to PEGylated lipids (CDN-PEG-lipids; PEG, polyethylene glycol) via a cleavable linker and incorporated them into lipid nanodiscs (LNDs), which are discoid nanoparticles formed by self-assembly. Compared to state-of-the-art liposomes, intravenously administered LNDs carrying CDN-PEG-lipid (LND-CDNs) exhibited more efficient penetration of tumours, exposing the majority of tumour cells to STING agonist. A single dose of LND-CDNs induced rejection of established tumours, coincident with immune memory against tumour rechallenge. Although CDNs were not directly tumoricidal, LND-CDN uptake by cancer cells correlated with robust T-cell activation by promoting CDN and tumour antigen co-localization in dendritic cells. LNDs thus appear promising as a vehicle for robust delivery of compounds throughout solid tumours, which can be exploited for enhanced immunotherapy."
31,Nanotwinning-assisted dynamic recrystallization at high strains and strain rates,2022-05-19,"Grain refinement is a widely sought-after feature of many metal production processes and frequently involves a process of recrystallization. Some processing methods use very high strain rates and high strains to refine the grain structure into the nanocrystalline regime. However, grain refinement processes are not clear in these extreme conditions, which are hard to study systematically. Here, we access those extreme conditions of strain and strain rate using single copper microparticle impact events with a laser-induced particle impact tester. Using a combined dictionary-indexing electron backscatter diffraction and scanning transmission electron microscopy approach for postmortem characterization of impact sites, we systematically explore increasing strain levels and observe a recrystallization process that is facilitated by nanotwinning, which we term nanotwinning-assisted dynamic recrystallization. It achieves much finer grain sizes than established modes of recrystallization and therefore provides a pathway to the finest nanocrystalline grain sizes through extreme straining processes."
32,The visual appearances of disordered optical metasurfaces,2022-05-19,"Nanostructured materials have recently emerged as a promising approach for material appearance design. Research has mainly focused on creating structural colours by wave interference, leaving aside other important aspects that constitute the visual appearance of an object, such as the respective weight of specular and diffuse reflectances, object macroscopic shape, illumination and viewing conditions. Here we report the potential of disordered optical metasurfaces to harness visual appearance. We develop a multiscale modelling platform for the predictive rendering of macroscopic objects covered by metasurfaces in realistic settings, and show how nanoscale resonances and mesoscale interferences can be used to spectrally and angularly shape reflected light and thus create unusual visual effects at the macroscale. We validate this property with realistic synthetic images of macroscopic objects and centimetre-scale samples observable with the naked eye. This framework opens new perspectives in many branches of fine and applied visual arts."
